aa,accuracy,top_dim
ALA,0.9990263709107257,0
ARG,0.9768273211687445,5
ASN,0.9953875192722818,7
ASP,0.994248589593471,7
CYS,0.9988462318427475,5
GLN,0.9849888857556713,7
GLU,0.9844194501537041,6
GLY,0.9996781669582415,7
HIS,0.9958132215735267,7
ILE,0.9983250744809767,3
LEU,0.9968880597758444,7
LYS,0.9665536719750047,7
MET,0.9935993894188251,7
PHE,0.9965520070425802,7
PRO,0.9995948826458358,6
SER,0.9984953221706439,3
THR,0.9984792344615061,3
TRP,0.9984161556209145,5
TYR,0.9975016567729564,3
VAL,0.9989343672311183,7
