set,residue,overall,overall_lo,overall_hi,buried,buried_lo,buried_hi,intermediate,intermediate_lo,intermediate_hi,exposed,exposed_lo,exposed_hi,ratio_bur_exp,ratio_bur_exp_lo,ratio_bur_exp_hi
gen,W,0.0049279452115035,0.0031024988276277888,0.006805445013701894,0.006726417358343742,0.0041830461503075235,0.009542341841978408,0.002774405530020254,0.001152195012407001,0.004876571974412353,0.001297929872888051,0.0001384265061659033,0.003297222066466123,9.430531363175069,1.8950859962344655,38.95199519298891
gen,F,0.016968522219052855,0.01397141173003242,0.020207915309803405,0.022213610678136875,0.018280678107646692,0.02633582662189885,0.010478255493233987,0.005942780736106232,0.01645436146683816,0.009802501996586948,0.004625347138157427,0.016275857166524018,2.571875657396667,1.2683092493465187,5.074044819536495
gen,Y,0.028963141276560824,0.02337367394428855,0.03514270496432055,0.03680871910708017,0.028619832169703426,0.04600748840774912,0.0224678442494396,0.016951138558982778,0.028676780119582725,0.007147681124380059,0.004202259592275907,0.010797075159919338,5.300579391524841,3.4111580811784203,7.914292680614186
gen,H,0.009936643077384826,0.00744122874170659,0.012730631099544566,0.00783563191735738,0.005607915995436304,0.010406711900661919,0.014366970800005121,0.009081594199996306,0.020177350229944654,0.006763400539533467,0.003297443790665391,0.010981557833298876,1.2546210795325636,0.6081096272638261,2.5535221834373756
gen,Aromatic,0.06072643271558272,0.05379253663242426,0.06754375585170148,0.073757611219758,0.06333085530153328,0.08457926496708135,0.04988397478958963,0.0410190716116254,0.059038480094652526,0.024830333702542902,0.01753986588733288,0.032969310474929236,3.043740642440283,2.1052371155013896,4.213696629191669
ref,W,0.019206500905464417,0.018632194254999634,0.01980874658068565,0.027209617119475803,0.026255124764738194,0.028123718032354018,0.009608000023788258,0.009124121576801158,0.010120914400367935,0.004858674692913406,0.004232800980845245,0.005479771839319948,5.618776100529778,4.954069886249536,6.33943583406178
ref,F,0.042884630012297593,0.04224877776853465,0.043506282958346014,0.06071532816091356,0.05975764130625929,0.0617243363173549,0.021640769856548767,0.020810127641743708,0.02246043216330137,0.010767619343443367,0.009806132956098513,0.011769492042106689,5.677537743601947,5.156327375671848,6.316999524037582
ref,Y,0.041140211343371993,0.040275797700202204,0.04204396822717574,0.0531205909079258,0.0517667778970685,0.054354550787716886,0.028979895018092863,0.02810705503391685,0.029886920620870012,0.014524080431826125,0.013528140551438287,0.015610319335404176,3.669960244466509,3.439924841479183,3.9270352108517987
ref,H,0.02410283509911158,0.023552130676331773,0.02462979096491458,0.0234648172610475,0.022865847302175887,0.024142457453066583,0.026388492654738988,0.025547720988486525,0.027293329470077586,0.021471705362524608,0.020310307820269574,0.022639802304633302,1.0930780613330835,1.0250690389214212,1.1651923662660513
ref,Aromatic,0.12735577527932115,0.12584040115208117,0.1287272000992204,0.16459350372661494,0.16231537639969176,0.16682227549089276,0.08657708101395815,0.08500387606818459,0.08818867112179,0.051605161864545473,0.04956272225506639,0.053666769031883346,3.1912907621638578,3.0555525180795815,3.3278972761273575
