metric,ref_n,gen_n,ref_mean,gen_mean,ref_sd,gen_sd,mean_diff,cohens_d,ks_d,ks_p,wasserstein
aliphatic_index,53749,1000,84.44088898064099,91.805245250521,9.72994139380164,19.237685765627365,7.364356269880005,0.7375522109674733,0.3594723808815048,3.938723342212593e-114,10.552807928490594
ivywrel_fraction,53749,1000,0.3708759685876015,0.4286000829093224,0.03885859814248042,0.13928285057852796,0.057724114321720865,1.3470060108116635,0.48778533554112635,7.59588175165655e-216,0.0985182561917195
gravy,53749,1000,-0.24139860921352707,-0.5133079478295828,0.20774413523585777,0.354216782495456,-0.2719093386160557,-1.2866683547029028,0.5264397663212339,3.637570658363799e-254,0.2961902842429991
charged_fraction,53749,1000,0.2199215027124452,0.2516171710619334,0.038630950268886556,0.13313440838450882,0.03169566834948817,0.7494610234031847,0.46493410109955535,5.770516778551261e-195,0.09088264314364147
log_acidic_basic_ratio,53749,1000,0.07510581782713424,0.2593517751363961,0.0902224536025417,0.47492323835718253,0.18424595730926188,1.6744559514722843,0.36645377588420247,9.724487016916587e-119,0.2503885953947724
aromatic_fraction,53749,1000,0.09043705871069474,0.06130573234933412,0.02430470022241615,0.034886403907713436,-0.02913132636136062,-1.1871586104185934,0.4041514260730432,2.1723557821603034e-145,0.02931945316025169
t40_binary,53749,1000,0.18580810805782433,0.778,0.3889553569735686,0.4157990967870047,0.5921918919421757,1.5205392354823033,0.5921918919421757,0.0,0.5921918919421757
t40_raw,53749,1000,0.3054620228878677,0.7766559060000001,0.2551314104946952,0.32035775253399723,0.4711938831121324,1.8372261718143728,0.6159795345029675,0.0,0.4711938831121323
t45_binary,53749,1000,0.21276674914882138,0.728,0.40926785354555456,0.44521254947969985,0.5152332508511785,1.2568136406709731,0.5152332508511787,1.178248555644573e-242,0.5152332508511787
t45_raw,53749,1000,0.2974688758097825,0.733648957,0.2713321620091988,0.3407561423761959,0.4361800811902175,1.5991508686548406,0.5579563340713316,2.2053599665258443e-288,0.43618008119021745
t50_binary,53749,1000,0.164505386146719,0.694,0.37073699742058663,0.461060274342278,0.529494613853281,1.4211516291574238,0.529494613853281,2.315581888822388e-257,0.529494613853281
t50_raw,53749,1000,0.24596745066345418,0.6984589791999999,0.2680927229816496,0.37026878379048117,0.45249152853654573,1.6740136500281793,0.5502398556252208,9.54583843157765e-280,0.4524917528386649
t55_binary,53749,1000,0.17829168914770507,0.683,0.38276166015078644,0.465540253606203,0.504708310852295,1.312868057848281,0.504708310852295,3.802275578098666e-232,0.504708310852295
t55_raw,53749,1000,0.2555495062153714,0.69264454312,0.2700638702229159,0.36174292644339323,0.4370950369046286,1.606886073958131,0.5408867327764237,1.6616422818345546e-269,0.43709510732119516
t60_binary,53749,1000,0.10416937989543991,0.622,0.3054829887298408,0.4851302416375951,0.51783062010456,1.6720612771356054,0.51783062010456,2.7113377348773677e-245,0.51783062010456
t60_raw,53749,1000,0.18369792486362535,0.62989607137,0.24864406972787648,0.40907941757833743,0.4461981465063747,1.767216368287131,0.5231843383132709,8.691557789509236e-251,0.4461981465063747
t65_binary,53749,1000,0.06645705036372769,0.663,0.24908164345389355,0.47292140431011864,0.5965429496362723,2.340001175418875,0.5965429496362722,0.0,0.5965429496362722
t65_raw,53749,1000,0.1114889433120058,0.663467079,0.219380268546239,0.40971704198372255,0.5519781356879943,2.460838872284576,0.6114209380639639,0.0,0.5519781356879943
t70_binary,53749,1000,0.06934082494558039,0.578,0.25403518574014133,0.49412565219806204,0.5086591750544196,1.953326417278214,0.5086591750544196,4.667215258995805e-236,0.5086591750544196
t70_raw,53749,1000,0.12603914080821968,0.5748974853600001,0.22469539790657092,0.42548817275332856,0.4488583445517804,1.9521064162190749,0.514431096392491,7.627079086071665e-242,0.4488583594357781
t75_binary,53749,1000,0.06526633053638208,0.449,0.2469975135181028,0.49764108215323893,0.3837336694636179,1.5119642757093557,0.38373366946361787,1.4010600916390774e-130,0.38373366946361787
t75_raw,53749,1000,0.09759702995524774,0.4498140694372,0.21288878845053635,0.4329185103282068,0.35221703948195227,1.6090762247328192,0.4061844127332601,6.501528232002169e-147,0.3522170469239512
t80_binary,53749,1000,0.05023349271614356,0.392,0.21842842440550503,0.4884409632438445,0.34176650728385644,1.5105006788327973,0.3417665072838565,6.794437173178505e-103,0.3417665072838565
t80_raw,53749,1000,0.07214322593432106,0.389922287965772,0.1988066761898957,0.4442051875032252,0.31777906203145095,1.543208674466941,0.3503197640886342,3.046326921590102e-108,0.3177791088581762
